Species
E (entity)	1	E1
EG (entity groupping)	1	1
T (time)	4	0	1	2	3
R (replicate)	1
Data   4096
V_1_1_1	1	0	0	0
V_1_1_2	1	0	0	0
V_1_1_3	1	0	0	0
V_1_1_4	1	0	0	0
V_1_1_5	1	0	0	0
V_1_1_6	1	0	0	0
V_1_1_7	1	0	0	0
V_1_1_8	1	0	0	0
V_1_1_9	1	0	0	0
V_1_1_10	1	0	0	0
V_1_1_11	1	0	0	0
V_1_1_12	1	0	0	0
V_1_1_13	1	0	0	0
V_1_1_14	1	0	0	0
V_1_1_15	1	0	0	0
V_1_1_16	1	0	0	0
V_1_2_1	1	0	0	0
V_1_2_2	1	0	0	0
V_1_2_3	1	0	0	0
V_1_2_4	1	0	0	0
V_1_2_5	1	0	0	0
V_1_2_6	1	0	0	0
V_1_2_7	1	0	0	0
V_1_2_8	1	0	0	0
V_1_2_9	1	0	0	0
V_1_2_10	1	0	0	0
V_1_2_11	1	0	0	0
V_1_2_12	1	0	0	0
V_1_2_13	1	0	0	0
V_1_2_14	1	0	0	0
V_1_2_15	1	0	0	0
V_1_2_16	1	0	0	0
V_1_3_1	1	0	0	0
V_1_3_2	1	0	0	0
V_1_3_3	1	0	0	0
V_1_3_4	1	0	0	0
V_1_3_5	1	0	0	0
V_1_3_6	1	0	0	0
V_1_3_7	1	0	0	0
V_1_3_8	1	0	0	0
V_1_3_9	1	0	0	0
V_1_3_10	1	0	0	0
V_1_3_11	1	0	0	0
V_1_3_12	1	0	0	0
V_1_3_13	1	0	0	0
V_1_3_14	1	0	0	0
V_1_3_15	1	0	0	0
V_1_3_16	1	0	0	0
V_1_4_1	1	0	0	0
V_1_4_2	1	0	0	0
V_1_4_3	1	0	0	0
V_1_4_4	1	0	0	0
V_1_4_5	1	0	0	0
V_1_4_6	1	0	0	0
V_1_4_7	1	0	0	0
V_1_4_8	1	0	0	0
V_1_4_9	1	0	0	0
V_1_4_10	1	0	0	0
V_1_4_11	1	0	0	0
V_1_4_12	1	0	0	0
V_1_4_13	1	0	0	0
V_1_4_14	1	0	0	0
V_1_4_15	1	0	0	0
V_1_4_16	1	0	0	0
V_1_5_1	1	0	0	0
V_1_5_2	1	0	0	0
V_1_5_3	1	0	0	0
V_1_5_4	1	0	0	0
V_1_5_5	1	0	0	0
V_1_5_6	1	0	0	0
V_1_5_7	1	0	0	0
V_1_5_8	1	0	0	0
V_1_5_9	1	0	0	0
V_1_5_10	1	0	0	0
V_1_5_11	1	0	0	0
V_1_5_12	1	0	0	0
V_1_5_13	1	0	0	0
V_1_5_14	1	0	0	0
V_1_5_15	1	0	0	0
V_1_5_16	1	0	0	0
V_1_6_1	1	0	0	0
V_1_6_2	1	0	0	0
V_1_6_3	1	0	0	0
V_1_6_4	1	0	0	0
V_1_6_5	1	0	0	0
V_1_6_6	1	0	0	0
V_1_6_7	1	0	0	0
V_1_6_8	1	0	0	0
V_1_6_9	1	0	0	0
V_1_6_10	1	0	0	0
V_1_6_11	1	0	0	0
V_1_6_12	1	0	0	0
V_1_6_13	1	0	0	0
V_1_6_14	1	0	0	0
V_1_6_15	1	0	0	0
V_1_6_16	1	0	0	0
V_1_7_1	1	0	0	0
V_1_7_2	1	0	0	0
V_1_7_3	1	0	0	0
V_1_7_4	1	0	0	0
