Species
E (entity)	1	E1
EG (entity groupping)	1	1
T (time)	3	0	1 	2
R (replicate)	1
Data   1024
V_1_1	6.123032e-17	0	-1
V_1_2	0.1011683	0	-0.9948693
V_1_3	0.2012985	0	-0.9795299
V_1_4	0.2993631	0	-0.9541393
V_1_5	0.3943559	0	-0.9189578
V_1_6	0.485302	0	-0.8743466
V_1_7	0.5712682	0	-0.8207634
V_1_8	0.6513725	0	-0.7587581
V_1_9	0.7247928	0	-0.6889669
V_1_10	0.7907757	0	-0.612106
V_1_11	0.8486443	0	-0.528964
V_1_12	0.8978045	0	-0.4403942
V_1_13	0.9377521	0	-0.3473053
V_1_14	0.9680771	0	-0.2506525
V_1_15	0.9884683	0	-0.1514278
V_1_16	0.9987165	0	-0.05064917
V_1_17	0.9987165	0	0.05064917
V_1_18	0.9884683	0	0.1514278
V_1_19	0.9680771	0	0.2506525
V_1_20	0.9377521	0	0.3473053
V_1_21	0.8978045	0	0.4403942
V_1_22	0.8486443	0	0.528964
V_1_23	0.7907757	0	0.612106
V_1_24	0.7247928	0	0.6889669
V_1_25	0.6513725	0	0.7587581
V_1_26	0.5712682	0	0.8207634
V_1_27	0.485302	0	0.8743466
V_1_28	0.3943559	0	0.9189578
V_1_29	0.2993631	0	0.9541393
V_1_30	0.2012985	0	0.9795299
V_1_31	0.1011683	0	0.9948693
V_1_32	6.123032e-17	0	1
V_2_1	5.997693e-17	1.232557e-17	-1
V_2_2	0.0990974	0.02036503	-0.9948693
V_2_3	0.1971779	0.04052109	-0.9795299
V_2_4	0.2932351	0.06026135	-0.9541393
V_2_5	0.3862834	0.07938325	-0.9189578
V_2_6	0.4753678	0.09769057	-0.8743466
V_2_7	0.5595743	0.1149954	-0.8207634
V_2_8	0.6380388	0.1311203	-0.7587581
V_2_9	0.7099562	0.1458997	-0.6889669
V_2_10	0.7745885	0.159182	-0.612106
V_2_11	0.8312725	0.1708308	-0.528964
V_2_12	0.8794264	0.1807267	-0.4403942
V_2_13	0.9185563	0.1887681	-0.3473053
V_2_14	0.9482605	0.1948725	-0.2506525
V_2_15	0.9682343	0.1989772	-0.1514278
V_2_16	0.9782727	0.2010402	-0.05064917
V_2_17	0.9782727	0.2010402	0.05064917
V_2_18	0.9682343	0.1989772	0.1514278
V_2_19	0.9482605	0.1948725	0.2506525
V_2_20	0.9185563	0.1887681	0.3473053
V_2_21	0.8794264	0.1807267	0.4403942
V_2_22	0.8312725	0.1708308	0.528964
V_2_23	0.7745885	0.159182	0.612106
V_2_24	0.7099562	0.1458997	0.6889669
V_2_25	0.6380388	0.1311203	0.7587581
V_2_26	0.5595743	0.1149954	0.8207634
V_2_27	0.4753678	0.09769057	0.8743466
V_2_28	0.3862834	0.07938325	0.9189578
V_2_29	0.2932351	0.06026135	0.9541393
V_2_30	0.1971779	0.04052109	0.9795299
V_2_31	0.0990974	0.02036503	0.9948693
V_2_32	5.997693e-17	1.232557e-17	1
V_3_1	5.626808e-17	2.414653e-17	-1
V_3_2	0.09296942	0.03989632	-0.9948693
V_3_3	0.1849848	0.07938325	-0.9795299
V_3_4	0.2751021	0.1180556	-0.9541393
V_3_5	0.3623964	0.1555165	-0.9189578
V_3_6	0.445972	0.1913817	-0.8743466
V_3_7	0.5249714	0.225283	-0.8207634
V_3_8	0.5985838	0.2568726	-0.7587581
V_3_9	0.666054	0.2858263	-0.6889669
V_3_10	0.7266895	0.311847	-0.612106
V_3_11	0.7798683	0.3346678	-0.528964
V_3_12	0.8250445	0.3540545	-0.4403942
V_3_13	0.8617546	0.369808	-0.3473053
V_3_14	0.889622	0.3817669	-0.2506525
V_3_15	0.9083607	0.3898083	-0.1514278
V_3_16	0.9177783	0.3938497	-0.05064917
V_3_17	0.9177783	0.3938497	0.05064917
V_3_18	0.9083607	0.3898083	0.1514278
V_3_19	0.889622	0.3817669	0.2506525
V_3_20	0.8617546	0.369808	0.3473053
V_3_21	0.8250445	0.3540545	0.4403942
V_3_22	0.7798683	0.3346678	0.528964
V_3_23	0.7266895	0.311847	0.612106
V_3_24	0.666054	0.2858263	0.6889669
V_3_25	0.5985838	0.2568726	0.7587581
V_3_26	0.5249714	0.225283	0.8207634
V_3_27	0.445972	0.1913817	0.8743466
V_3_28	0.3623964	0.1555165	0.9189578
V_3_29	0.2751021	0.1180556	0.9541393
V_3_30	0.1849848	0.07938325	0.9795299
V_3_31	0.09296942	0.03989632	0.9948693
V_3_32	5.626808e-17	2.414653e-17	1
V_4_1	5.025561e-17	3.497893e-17	-1
V_4_2	0.08303526	0.05779425	-0.9948693
V_4_3	0.1652185	0.1149954	-0.9795299
V_4_4	0.2457063	0.1710166	-0.9541393
V_4_5	0.3236729	0.225283	-0.9189578
V_4_6	0.3983181	0.2772376	-0.8743466
V_4_7	0.4688761	0.3263474	-0.8207634
V_4_8	0.5346227	0.3721084	-0.7587581
V_4_9	0.5948834	0.4140511	-0.6889669
V_4_10	0.6490398	0.451745	-0.612106
V_4_11	0.6965362	0.4848035	-0.528964
V_4_12	0.7368851	0.5128872	-0.4403942
V_4_13	0.7696727	0.535708	-0.3473053
V_4_14	0.7945623	0.5530317	-0.2506525
V_4_15	0.8112987	0.5646805	-0.1514278
V_4_16	0.81971	0.570535	-0.05064917
V_4_17	0.81971	0.570535	0.05064917
V_4_18	0.8112987	0.5646805	0.1514278
V_4_19	0.7945623	0.5530317	0.2506525
V_4_20	0.7696727	0.535708	0.3473053
V_4_21	0.7368851	0.5128872	0.4403942
V_4_22	0.6965362	0.4848035	0.528964
V_4_23	0.6490398	0.451745	0.612106
V_4_24	0.5948834	0.4140511	0.6889669
V_4_25	0.5346227	0.3721084	0.7587581
V_4_26	0.4688761	0.3263474	0.8207634
V_4_27	0.3983181	0.2772376	0.8743466
V_4_28	0.3236729	0.225283	0.9189578
V_4_29	0.2457063	0.1710166	0.9541393
V_4_30	0.1652185	0.1149954	0.9795299
V_4_31	0.08303526	0.05779425	0.9948693
V_4_32	5.025561e-17	3.497893e-17	1
V_5_1	4.218566e-17	4.437929e-17	-1
V_5_2	0.06970163	0.07332607	-0.9948693
V_5_3	0.138688	0.1458997	-0.9795299
V_5_4	0.2062513	0.2169762	-0.9541393
V_5_5	0.2716981	0.2858263	-0.9189578
V_5_6	0.334357	0.3517434	-0.8743466
V_5_7	0.3935849	0.4140511	-0.8207634
V_5_8	0.4487741	0.4721101	-0.7587581
V_5_9	0.4993583	0.5253246	-0.6889669
V_5_10	0.5448183	0.5731486	-0.612106
V_5_11	0.5846878	0.6150912	-0.528964
V_5_12	0.6185576	0.6507223	-0.4403942
V_5_13	0.6460802	0.679676	-0.3473053
V_5_14	0.6669731	0.7016553	-0.2506525
V_5_15	0.681022	0.7164347	-0.1514278
V_5_16	0.6880826	0.7238625	-0.05064917
V_5_17	0.6880826	0.7238625	0.05064917
V_5_18	0.681022	0.7164347	0.1514278
V_5_19	0.6669731	0.7016553	0.2506525
V_5_20	0.6460802	0.679676	0.3473053
V_5_21	0.6185576	0.6507223	0.4403942
V_5_22	0.5846878	0.6150912	0.528964
V_5_23	0.5448183	0.5731486	0.612106
V_5_24	0.4993583	0.5253246	0.6889669
V_5_25	0.4487741	0.4721101	0.7587581
V_5_26	0.3935849	0.4140511	0.8207634
V_5_27	0.334357	0.3517434	0.8743466
V_5_28	0.2716981	0.2858263	0.9189578
V_5_29	0.2062513	0.2169762	0.9541393
